Media ID,Media created,Day of week,Media type,Media caption,Comments count,Like count,Media impressions,Media reach,Unique saves
1.78422E+16,03/07/2020 12:00,5 Friday,IMAGE,"Crece y florece, hasta en los tiempos de sequía🌵| #XHINDÓ #UnaPlayeraALaVez 
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
#Embroidery #HandEmbroidery #BordadoAMano #HandMade #MadeInMexico #HechoEnMexico #Mexico",1,53,1252,1122,1
1.80E+16,05/07/2020 12:00,7 Sunday,IMAGE,"Bordados hechos por nuestras guerreras de puntadas.| #XHINDÓ #UnaPlayeraALaVez .⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
#Embroidery #HandEmbroidery #BordadoAMano #HandMade #MadeInMexico #HechoEnMexico #Mexico",0,64,2466,2057,11
1.79476E+16,09/07/2020 12:36,4 Thursday,CAROUSEL_ALBUM,"EDICIÓN LIMITADA ""Un Poquito de Amor"" en COLAB con @yosoycaztro 🌞🌛 ¡Consigue la tuya y se parte de nuestra causa! Para más información visita nuestra página www.xhindo.com 💫| #XHINDÓ #UnaPlayeraALaVez
.
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
#Embroidery #HandEmbroidery #BordadoAMano #HandMade #MadeInMexico #HechoEnMexico #Mexico",4,61,1195,1095,0
1.79061E+16,12/07/2020 12:17,7 Sunday,IMAGE,"EDICIÓN LIMITADA✨ Los tres modelos de la playera ""Un poquito de Amor"" se inspiraron en la paleta de colores del video @yosoycaztro 🌞 ¡Dale clic al link en bio para elegir la que más te guste! 💫| #XHINDÓ #UnaPlayeraALaVez
.
.
.
.
.
.
.
.

#Embroidery #HandEmbroidery #BordadoAMano #HandMade #MadeInMexico #HechoEnMexico #Mexico",1,64,1813,1599,0
1.79224E+16,15/07/2020 12:00,3 Wednesday,IMAGE,"""Tú eres la Luna y yo soy el Sol"". Date un poquito de amor y consigue la tuya en el link en bio.  #XHINDÓ #UnaPlayeraALaVez ⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
#Embroidery #HandEmbroidery #BordadoAMano #HandMade #MadeInMexico #HechoEnMexico #Mexico",4,113,2251,1980,7
1.79189E+16,27/07/2020 18:30,1 Monday,IMAGE,"Los clásicos nunca pasan de moda, y mucho menos en nuestro SUMMER SALE 🔥| #XHINDÓ #UnaPlayeraALaVez⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
#Embroidery #HandEmbroidery #BordadoAMano #HandMade #MadeInMexico #HechoEnMexico #Mexico",0,53,1388,1225,10
1.78632E+16,28/07/2020 12:00,2 Tuesday,IMAGE,"El mandala es un diagrama simbólico que, en el budismo, representa la evolución del universo... Consigue tu playera en nuestro SUMMER SALE| #XHINDÓ #UnaPlayeraALaVez ⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
#Embroidery #HandEmbroidery #BordadoAMano #HandMade #MadeInMexico #HechoEnMexico #Mexico",3,57,2146,1885,0
1.78484E+16,29/07/2020 12:01,3 Wednesday,IMAGE,"Así se siente traer a México en la playera. No te quedes sin la tuya y aprovecha nuestro SUMMER SALE|#XHINDÓ #UnaPlayeraALaVez ⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
#Embroidery #HandEmbroidery #BordadoAMano #HandMade #MadeInMexico #HechoEnMexico #Mexico",0,58,1348,1196,0
1.79086E+16,30/07/2020 12:01,4 Thursday,IMAGE,"Aprovecha nuestro SUMMER SALE y consigue tus #basics |#XHINDÓ #UnaPlayeraALaVez ⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
#Embroidery #HandEmbroidery #BordadoAMano #HandMade #MadeInMexico #HechoEnMexico #Mexico",0,37,1660,1440,5
1.78784E+16,31/07/2020 12:02,5 Friday,IMAGE,"SUMMER SALE 15% y 20% de descuento en nuestros #basics ¡Aprovéchalo!| #XHINDÓ #UnaPlayeraALaVez⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
#Embroidery #HandEmbroidery #BordadoAMano #HandMade #MadeInMexico #HechoEnMexico #Mexico",0,249,3451,2707,22
